ControlQ_NoKidsQ1_1,N0to5yrold,N6to11yrold,N12to17yrold,Ep_Q1_l1,Ep_Q1_l2,Ep_Q1_l3,Quota_Childfocus0to5,Quota_Childfocus_6to11,Quota_Childfocus_12to17,Gender,Sibling_order,Parent_gender,Parent_birthyear_MISSING,Parent_birthyear,Eductaion_scale,Household_income,Region_of_residence,Access_smartphone,Access_tablet,Access_TV,Access_PCconsole,Access_other,Wor_presence,Wor_time_w_friends,Wor_WHO5_rested,Wor_WHO5_activityandenergy,Wor_WHO5_interestingdays,Wor_delayed_gratification,Wor_empathy,Wor_imagination,Wor_PLAY_imaginary,Wor_play_free_play,Wor_physical_activity_health,Q11_PLAY_physical,Wor_WHO5_happiness_mood,Wor_concentrate,Wor_creativity,Wor_learning_school_care,Wor_PLAY_object,Worr_play_adultinitiated,Wor_PLAY_rulebased,Wor_motorskills,Wor_attention,Wor_WHO5_calm_relaxation,Wor_resilience,Wor_self_discipline,Wor_socialskills,Wor_social_relations,Wor_sleep,Wor_language,Wor_stress,Wor_PLAY_symbolic,Wor_time_family,Wor_time_creativity,Wor_time_leisure_activities,Wor_time_schoolwork,Wor_conflicts_at_home,Wor_addiction,Wor_bullying,Wor_loneliness,Wor_somethingelse,Freetext_worry,Freetext_worry_string,WORRY_general,problem_smartphone,problem_ipad,problem_tv,problem_comp,problem_forælder_skærmfb,Parent_action_LIMIT_Q16,Parent_action_SUPPORT_Q17,forælder_begrænse,forælder_støtte,forælder_egne_skærme,forælder_tid_opmærksomhed,skærmtid_regler,skærmtid_regler_TXT,Agency_Uncertainty_Q19,Agency_Lack_of_information_Q20,Agency_screens_positive_functionQ21,Max_1Q22_1_resp,Max_Q22_2_resp,Max_Q22_3_resp,Max_Q22_4_resp,Max_Q22_5_resp,Max_Q22_6_resp,neuromyte_1_F,neuromyte_2_S,neuromyte_3_S,neuromyte_4_F,neuromyte_5_F,neuromyte_6_F,neuromyte_7_S,neuromyte_8_S,neuromyte_9_F,neuromyte_10_F,neuromyte_11_S,neuromyte_2_S_correct,neuromyte_3_S_correct,neuromyte_7_S_correct,neuromyte_8_S_correct,neuromyte_11_S_correct,Neuromyte_1_F_correct,Neuromyte_4_F_correct,neuromyte_5_F_correct,neuromyte_6_F_correct,neuromyte_9_F_correct,neuromyte_10_F_correct,Neuromyths_correct,True_Neuromyths_correct,False_Neuromyths_correct,False_neuromyths_believed,Maximization,Play_focus,Age_group,N_children,Oldest_child,Education_collegelevel_yn,Parent_age,Worry_level
0,0,1,1, ,1,1,0,1,0,2,3,2,1,1982,1,3,3,1,1,1,1,0,5,4,2,6,2,2,3,4,4,3,5,6,2,3,2,2,2,5,5,4,3,4,2,2,3,2,3,5,2,2,4,2,2,2,2,2,1,4, ,1,Udtrykkelse af følelserne. Samtale mellem børn og voksne.,3,2,2,2,2,2, , ,2,4,2,2,1,Ingen skærmtid 30 min før sengetid,2,2,5,2,4,3,2,4,4,2,1,2,2,2,1,1,2,1,2,1,1,0,1,0,1,1,1,1,0,0,1,.636363636363636,.6,.666666666666667,.333333333333333,3.16666666666667,3.8,2,2,3,1,36,2
0,1,1,0,2,1, ,0,1,0,1,1,1,1,1987,6,8,1,0,1,1,1,0,6,2,1,6,5,6,3,4,6,1,1,4,1,6,6,4,2,1,6,1,1,5,3,1,5,2,1,6,1,3,6,2,1,4,1,6,6,5, ,1,ture i naturen,7, ,1,1,6,6, , ,6,1,1,4,2, ,1,1,2,6,3,6,1,1,1,1,2,1,2,1,2,2,1,2,1,2,0,1,0,1,0,0,1,0,1,1,0,.454545454545455,.4,.5,.5,3,4.2,2,2,2,2,31,6
0,0,0,1, , ,1,0,0,1,2,3,2,1,1969,6,12,1,1,1,1,1,0,5,4,5,4,1,4,3,4,1,1,5,1,4,3,5,3,1,1,1,5,3,1,1,1,1,5,5,3,4,3,3,4,3,2,4,1,5,5, ,1,Tid til skriftlige afleveringer.,2,1,1,1,4,1, , ,1,4,1,1,2, ,5,2,6,1,2,3,5,4,3,2,1,2,2,2,1,1,2,1,2,1,1,0,1,0,1,1,1,1,0,0,1,.636363636363636,.6,.666666666666667,.333333333333333,3,1.4,3,1,3,2,49,1
0,1,0,0,2, , ,1,0,0,1,1,1,1,1990,2,8,4,0,1,1,0,0,4,4,5,5,5,3,4,3,2,3,3,3,4,5,4,5,4,4,5,4,5,6,5,4,5,5,5,4,5,5,4,4,3,4,6,5,5,5, ,1,Temperament,4, ,3,3, ,5, , ,3,4,5,4,2, ,3,3,4,4,6,3,5,4,5,2,1,2,2,2,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,.636363636363636,.8,.5,.5,4.5,3.8,1,1,1,1,28,3
0,0,1,0, ,1, ,0,1,0,1,4,2,1,1975,2,8,4,1,1,1,1,0,3,1,1,6,3,3,5,2,1,2,5,6,2,3,2,2,4,1,3,3,4,5,2,6,1,1,1,2,2,2,6,4,1,5,4,5,4,1, ,1,Takt og tone. Kommuninaktions pli,5,1,4,1,5,1, , ,6,6,1,1,1,Ingen cyber mobning. Ingen udelukkelse. Ingen spil efter aftensmad. Slukning ved mad/pligter mm.,1,1,6,1,2,2,1,2,1,1,2,1,2,1,1,1,2,1,1,1,0,1,1,0,1,0,1,0,0,0,0,.363636363636364,.6,.166666666666667,.833333333333333,1.5,3.2,2,1,2,1,43,4
0,0,0,1, , ,1,0,0,1,1,4,1,1,1985,6,12,1,1,0,0,1,0,4,5,5,4,3,5,2,1,4,3,4,4,2,3,2,3,2,2,2,2,5,3,2,2,4,4,4,2,4,2,5,2,6,4,4,5,2,2, ,1,"Syntes at ordet ""skærmtid"" godt kunne være forklaret bedre, Skærmtid kan jo være forskellige ting. Børn kan lige så vel være kreativ som ikke foran en skærm, Det samme gælder jo også på det sociale punkt.",4,3, , ,2,2, , ,4,3,2,2,1,"Jeg bruger næsten ikke min egen smartphone(interesserer mig ikke), Så jeg holder lidt øje med ham af og til. Men han bestemmer selv så længe han passer sine pligter.",2,3,4,1,4,4,4,2,2,2,1,1,2,1,1,1,2,2,1,1,1,1,1,0,1,1,1,0,0,1,0,.636363636363636,.8,.5,.5,2.83333333333333,2.8,3,1,3,2,33,3
0,0,1,1, ,1,1,0,1,0,1,3,2,1,1977,6,8,4,1,1,1,1,0,6,4,1,6,6,1,4,6,6,6,6,6,4,4,6,3,6,6,6,5,4,5,6,2,5,5,2,4,4,6,6,6,6,4,1,6,4,2, ,1,"Spørgsmålene er meget negativt stillet. Jeg oplever faktisk også, at børn i mit barns alder er meget sociale omkring skærme og helst vil være i gang med skærmen, dele oplevelser med skærmen med kammerater mv. I mit barns alder oplever jeg ikke, at børnene isolerer sig omkring en skærm.",6,5,5,1,4,2, , ,5,2,2,2,1,"Skærmfri søndag, der bliver alle skærme lagt væk hele dagen. Mobilen må ikke komme med i skole.",2,6,5,1,1,1,4,2,1,2,1,2,2,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,.545454545454545,.8,.333333333333333,.666666666666667,1.66666666666667,6,2,2,3,2,41,5
0,1,0,0,1, , ,1,0,0,1,4,1,1,1981,6,9,5,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1, ,1,"Spørgsmål og svar er jo opstillet på en måde, så svarene næsten ikke kan komme udenom, at der er  problemer med skærmtid.",2, ,1,1, ,1, , ,1,6,1,2,1,"Det har ikke været nødvendigt at opstille regler, da skærme ikke er interessante ret lang tid ad gangen",1,1,6,2,5,5,6,6,2,1,1,2,2,1,1,1,1,2,1,1,1,0,1,1,1,0,1,0,0,1,0,.545454545454545,.8,.333333333333333,.666666666666667,4.33333333333333,1,1,1,1,2,37,1
0,0,0,1, , ,1,0,0,1,1,3,1,1,1956,4,5,3,1,1,1,1,0,5,5,4,4,4,4,4,2,4,4,5,4,1,3,4,3,4,4,4,4,4,4,2,2,5,5,4,3,4,4,5,4,3,4,3,5,3,5, ,1,Spise og drikkevaner,5,4,3,3,4,1, , ,4,2,1,1,1,Der skal dyrkes fitness og andre sportsaktiviteter,2,3,3,3,4,3,4,3,2,2,1,2,2,1,1,1,2,2,1,1,1,0,1,0,1,1,1,0,0,1,0,.545454545454545,.6,.5,.5,3.16666666666667,4,3,1,3,1,62,4
0,1,0,0,2, , ,1,0,0,2,1,2,1,1983,6,3,3,0,0,1,0,0,4,4,4,5,5,3,3,3,3,3,4,4,3,3,3,5,3,4,4,3,4,4,3,3,4,4,4,3,3,3,3,3,3,4,4,4,3,4, ,1,søskenderelation,2, , ,1, ,1, , ,1,5,1,1,1,max 15 minutter tv pr. dag,1,1,3,5,5,2,2,6,4,2,2,1,2,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,.545454545454545,.8,.333333333333333,.666666666666667,4,3.4,1,1,1,2,35,1
