month_date_yyyymm,county_fips,county_name,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy
202102,37065,"edgecombe, nc",105900,0.1767,0.1767,44,-0.102,-0.5165,81,0.246153846,-0.181818182,12,-0.4,-0.5714,0,,,8,1,-0.5,41,0.1389,0.2813,74.56140351,0.185,0.2394,1366.5,-0.0047,-0.1127,123095.9524,0.0592,0.0183,85,0,-0.3089,0.931818182,0.1971,0.5802
202102,15001,"hawaii, hi",487000,-0.0237,0.0822,679,-0.2068,-0.5037,85.5,0.017857143,-0.145,224,0.0566,-0.3333,24,1,2,116,-0.2162,-0.6375,726,0.0692,0.375,351.5354572,-0.0377,0.0855,1484.5,0.0085,-0.0103,1363377.759,0.0528,0.2583,1405,-0.0847,-0.259,1.06921944,0.276,0.6833
202102,42069,"lackawanna, pa",183450,0.0798,0.1473,238,-0.2119,-0.5467,101.5,0.10326087,-0.147058824,88,0.0476,-0.2414,0,,,32,-0.3333,-0.7838,261,0.2794,0.2609,98.10271508,0.0139,0.1195,1873.5,0.0408,0.0171,328839.5453,0.0726,0.5688,499,-0.0138,-0.3183,1.096638655,0.4211,0.7024
202102,1113,"russell, al",159950,0.1433,-0.1109,100,-0.0991,-0.5025,33,-0.476190476,-0.507462687,76,0.3571,0.1176,0,,,20,0.25,-0.375,23,-0.0417,22,82.90898276,-0.0124,-0.0743,1712.5,0.0316,-0.148,201561.0295,0.0255,-0.0836,123,-0.0889,-0.3911,0.23,0.0138,0.225
202102,6095,"solano, ca",509750,-0.029,0.0846,205,-0.0766,-0.5534,14,-0.481481481,-0.6,356,0.3284,-0.0918,36,0,0.125,24,-0.25,-0.8065,423,-0.0537,-0.1673,307.1647408,0.0483,0.1398,1772.5,-0.0031,0.0031,686542.5555,0.0084,0.222,628,-0.0613,-0.3506,2.063414634,0.0499,0.9567
202102,8031,"denver, co",557250,0.0171,-0.0553,822,-0.1246,-0.0917,32,-0.5,-0.085714286,824,0.1135,0.1444,16,-0.5556,0,196,-0.1967,-0.3553,1528,0.2884,0.6483,395.5745869,-0.0003,0.1179,1405.5,0.0434,-0.2394,831479.3005,0.0645,-0.019,2350,0.1059,0.2828,1.858880779,0.5958,0.8346
202102,17111,"mchenry, il",329945,0.0998,0.1659,348,-0.2435,-0.7288,35.5,-0.398305085,-0.436507937,288,0.1077,-0.5168,40,-0.5,1.5,72,-0.3077,-0.7882,805,0.2271,0.0307,143.7072044,0.037,0.1623,2101,0.0416,0.0005,431262.8704,0.1139,0.3402,1153,0.0332,-0.4414,2.313218391,0.8871,1.7045
202102,36119,"westchester, ny",650000,0.0002,-0.0647,4770,-0.004,0.6274,322.5,0.108247423,3.813432836,912,0.0364,-0.0916,32,0.3333,0.6,300,-0.2268,-0.3421,1425,-0.0152,19.0704,315.1949799,0.0103,0.037,1971,0.0015,-0.0854,1119127.827,0.0194,0.074,6195,-0.0066,1.0636,0.298742138,-0.0034,0.2745
202102,13157,"jackson, ga",354950,0.0214,0.1508,343,-0.2899,-0.6549,41,-0.316666667,-0.226415094,264,0,-0.3774,72,-0.3077,0,32,-0.5,-0.8431,778,0.1526,0.2468,130.0215388,0.0661,0.1301,2170,-0.036,-0.132,473842.6061,0.0566,0.2114,1121,-0.032,-0.3072,2.268221574,0.8707,1.6405
202102,41053,"polk, or",620000,0.1925,0.6986,90,-0.1667,-0.6667,40.5,-0.325,-0.376923077,64,-0.3043,-0.5152,0,-1,-1,12,0,-0.8125,235,0.2772,0.0981,268.0141239,0.2553,0.3836,2226,-0.0146,0.1147,787803.8517,0.05,0.5304,325,0.113,-0.3285,2.611111111,0.9074,1.8185
202102,36045,"jefferson, ny",169000,0.0249,0.0249,257,-0.1546,-0.7655,132.5,-0.018518519,-0.04676259,76,0.4615,-0.525,0,,-1,28,-0.3,-0.8056,225,0.0417,-0.3421,95.07127117,0.0078,-0.0335,1765.5,0.0534,0.07,240808.8394,0.0043,0.0802,482,-0.0731,-0.6648,0.875486381,0.165,0.5634
202102,6109,"tuolumne, ca",525000,0.096,0.5,161,-0.191,-0.613,73,0.057971014,-0.381355932,64,-0.2381,-0.4074,4,-0.5,0,28,-0.125,-0.5625,186,0.022,0.3778,261.9185243,0.027,0.2965,1892.5,0.0003,0.0202,631101.8814,0.0121,0.3736,347,-0.0892,-0.3702,1.155279503,0.2407,0.8308
202102,12033,"escambia, fl",334950,0.1354,0.2507,489,-0.2113,-0.5873,58.5,0.026315789,-0.1875,324,0.3065,-0.1818,120,-0.1667,0.1111,96,-0.2727,-0.6712,23,0.0455,-0.1154,163.6384958,0.0728,0.2462,1890,0.0249,-0.0053,568531.9284,0.1628,0.4392,512,-0.2025,-0.5772,0.047034765,0.0116,0.0251
202102,54079,"putnam, wv",203400,-0.1626,-0.149,66,-0.1538,-0.625,79.5,0.394736842,0.089041096,24,-0.25,-0.7,0,,,12,-0.4,-0.5714,73,0.2373,-0.3048,113.5173993,-0.0292,0.1186,1863,-0.0991,-0.0572,266716.0938,-0.0598,-0.1826,139,0.0146,-0.5053,1.106060606,0.3497,0.5095
202102,4017,"navajo, az",430500,0.1041,0.3457,140,-0.1813,-0.7426,87,0.035714286,-0.25,84,0.4,-0.3636,8,0,1,16,-0.2,-0.7895,71,0.0923,-0.1932,186.7879326,0.0042,0.131,2125.5,0.0007,0.1088,612898.1282,0.0631,0.5659,211,-0.1059,-0.6661,0.507142857,0.127,0.3454
202102,41039,"lane, or",449500,-0.0333,0.1238,252,-0.0491,-0.4557,56.5,-0.385869565,-0.00877193,228,0.1176,-0.1972,4,-0.5,-0.9412,28,-0.3,-0.8571,531,0.0706,0.0453,254.3528194,-0.0005,0.1779,1554,-0.0766,-0.2136,567151.4428,-0.0152,0.1826,783,0.0289,-0.1936,2.107142857,0.2354,1.01
202102,36059,"nassau, ny",737000,0.011,0.1,3189,-0.04,-0.3186,72.5,-0.070512821,-0.046052632,1124,-0.0847,-0.3245,52,0.3,0.4444,348,-0.3203,-0.5397,2441,-0.3549,-0.1623,168.7025003,,,699,,,1248723.687,0.011,0.2007,5630,-0.2077,-0.2586,0.765443713,-0.3736,0.1428
202102,13153,"houston, ga",276950,0.0261,0.1641,301,-0.1275,-0.6446,47.5,-0.12037037,-0.194915254,160,0.1111,-0.5349,80,0.25,1.8571,12,-0.7,-0.9211,929,0.1686,2.2369,109.7111521,0.0102,0.131,2406,0.0038,0.0375,282591.6589,0.0465,0.1821,1230,0.0789,0.0847,3.086378738,0.782,2.7475
202102,55101,"racine, wi",272450,0.0684,0.1851,171,-0.2467,-0.6023,44,-0.228070175,-0.456790123,104,-0.1034,-0.4348,0,,,44,0.1,-0.6207,245,0.1667,0.2374,148.9678899,0.0651,0.1279,1599,0,-0.0385,413547.7787,0.0932,0.3093,416,-0.0481,-0.3376,1.432748538,0.5076,0.9723
202102,13215,"muscogee, ga",174950,0.0609,0.1664,296,-0.0034,-0.4618,56,-0.176470588,-0.384615385,172,0.1622,0.075,16,,3,52,0,-0.6176,39,0.1818,0.6957,96.70396419,0.0536,0.1469,1738,0.0689,-0.0819,287697.3922,0.0651,0.1936,335,0.0152,-0.4154,0.131756757,0.0206,0.0899
202102,10003,"new castle, de",312449.5,0.0418,0.0592,419,-0.0832,-0.5543,65,0,-0.226190476,296,-0.1778,-0.3333,56,-0.5484,-0.0667,68,-0.0556,-0.6731,913,0.0156,2.7418,155.1253413,0.0277,0.1188,1777.5,0.0157,-0.0977,420362.4161,0.0766,0.1688,1332,-0.0177,0.125,2.178997613,0.2118,1.9194
202102,49035,"salt lake, ut",608949.5,-0.0425,0.194,481,-0.1635,-0.6146,21.5,-0.532608696,-0.56122449,784,0.1951,-0.1404,52,-0.1333,-0.5517,76,-0.05,-0.7841,2153,0.0218,0.0554,236.6369803,0.0057,0.3224,2606,-0.0034,-0.1243,1003311.115,-0.0152,0.3744,2634,-0.0179,-0.1989,4.476091476,0.8117,2.8415
202102,8041,"el paso, co",531000,0.0434,0.1407,465,-0.0491,-0.5563,20,-0.473684211,-0.444444444,736,0.1795,-0.1674,104,0,0.3,60,-0.1667,-0.7619,755,0.1286,-0.2111,206.7514403,0.086,0.2978,2921,0.0003,-0.0791,758010.4366,-0.001,0.2646,1220,0.0535,-0.3915,1.623655914,0.2556,0.7105
202102,49053,"washington, ut",677450,0.1502,0.5088,345,-0.1131,-0.7886,19,-0.634615385,-0.577777778,396,0.5469,-0.45,28,-0.2222,-0.5625,44,-0.0833,-0.875,199,0.0815,0.1117,237.1488211,0.0694,0.2474,2807.5,0.015,0.1983,934805.3753,0.0247,0.6439,544,-0.0506,-0.6996,0.576811594,0.1038,0.4671
202102,42111,"somerset, pa",159000,0.0973,0.0127,148,0,-0.6105,125,0.225490196,-0.17218543,48,0.5,-0.2941,0,,,12,-0.25,-0.625,63,-0.125,-0.0308,67.13051823,-0.038,-0.0216,1693,0,0.0588,286128.2165,-0.0225,0.3698,211,-0.0409,-0.5258,0.425675676,-0.0608,0.2546
202102,6039,"madera, ca",454000,0.0822,0.3009,237,-0.1625,-0.6291,61.5,0.025,-0.133802817,160,-0.1304,-0.3846,12,0,-0.25,28,0,-0.7667,256,0.0579,0.1327,207.2916667,0.0439,0.1623,2127.5,-0.0012,0.0712,657969.5689,0.0743,0.5009,493,-0.061,-0.4301,1.080168776,0.225,0.7265
202102,42089,"monroe, pa",285000,0.0215,0.4322,423,-0.1455,-0.6682,65,-0.071428571,-0.414414414,204,-0.0893,-0.4333,24,0.2,1,48,-0.25,-0.7895,549,-0.0266,0.2309,141.7246284,0.0236,0.4031,2028,0.001,0.0747,369796.116,0.024,0.5549,972,-0.0822,-0.4352,1.29787234,0.1585,0.9481
202102,54011,"cabell, wv",132450,-0.0539,-0.0539,217,-0.125,-0.5711,97.5,-0.005102041,-0.226190476,44,-0.2667,-0.5769,0,,,36,-0.25,-0.4706,156,0.2093,0.1143,78.5669233,0.0034,0.0483,1869,-0.0386,0.0298,194626.7699,-0.0468,-0.0305,373,-0.0106,-0.4226,0.718894009,0.1987,0.4422
202102,37107,"lenoir, nc",155400,-0.0744,0.3059,49,-0.1552,-0.5847,66.5,0.209090909,-0.389908257,28,0,0,0,-1,,4,0,-0.6667,73,0.1406,0.6977,77.52387064,-0.0929,0.1394,2014,0.0312,0.1158,183521.4545,-0.0321,0.1816,122,0,-0.2422,1.489795918,0.3863,1.1254
202102,34009,"cape may, nj",598700,0.0885,0.2347,670,-0.1986,-0.6427,58,-0.256410256,-0.395833333,352,-0.0222,-0.4094,12,-0.5,-0.4,80,-0.1304,-0.6875,260,-0.255,-0.1246,214.0590438,0.0284,0.216,875,-0.1388,-0.2002,1061846.123,0.1007,-0.1501,930,-0.2152,-0.5718,0.388059701,-0.0294,0.2297
202102,25015,"hampshire, ma",398950,0.01,0.1085,151,-0.1793,-0.4793,89,0.047058824,-0.063157895,64,0.0667,-0.3846,4,0,0,12,-0.625,-0.8333,47,0.3429,0,231.9795589,0.0624,0.232,1805,-0.0028,-0.05,523438.3791,0.0464,0.2765,198,-0.0959,-0.4125,0.311258278,0.121,0.1492
202102,26087,"lapeer, mi",312400,0.2062,0.202,125,0.0684,-0.5387,32,-0.384615385,-0.724137931,72,0.2,0.0588,4,0,,16,-0.2,-0.6923,36,0,1,177.2316898,0.0767,0.2256,1811,0.0554,-0.0458,381378.0998,0.0863,0.1391,161,0.0523,-0.4429,0.288,-0.0197,0.2216
202102,47105,"loudon, tn",447500,0.0409,0.2098,84,-0.0769,-0.5882,46.5,-0.237704918,-0.494565217,40,-0.2308,-0.4118,12,2,,4,-0.75,-0.9231,184,0.1018,0.363,174.1513767,0.0431,0.1947,2564,0.0957,0.0683,674609.6087,0.1255,0.3959,268,0.0388,-0.2094,2.19047619,0.3553,1.5287
202102,13103,"effingham, ga",277250,-0.0098,0.0705,144,-0.2941,-0.6488,46,-0.313432836,-0.425,92,-0.0417,-0.3947,16,0,-0.6,12,0,-0.7857,210,0.2426,0.4094,127.8647979,0.039,0.1954,2090.5,-0.0357,-0.0871,323182.589,0.0646,0.1504,354,-0.0509,-0.3667,1.458333333,0.6299,1.0949
202102,47149,"rutherford, tn",386449,0.0305,0.1894,263,-0.2892,-0.7199,22.5,-0.02173913,-0.274193548,252,-0.3077,-0.58,176,0.2941,0.6296,8,-0.8,-0.9706,276,0.104,-0.0676,170.8496375,0.0339,0.1738,2292.5,0.0055,0.0081,475168.9053,0.0922,0.3125,539,-0.1306,-0.5636,1.049429658,0.3738,0.7342
